Aggregated Freyja results,,,,,,,
Sample,summarized,lineages,abundances,resid,coverage,primary lineage,primary lineage percentage
UT-UPHL-250328574534,"[('KP.3.1.1* (KP.3.1.1.X)', 0.9984039793826153)]",MC.26.1,0.99840398,18.29644164,99.67561783098685,MC.26.1,0.99840398
UT-UPHL-250328588022,"[('LP.8.1* (LP.8.1.X)', 0.9967226353028484)]",LP.8.1,0.99672264,14.47708845743444,99.81941611209578,LP.8.1,0.99672264
UT-UPHL-250328616516,"[('LP.8.1* (LP.8.1.X)', 0.9927336527475711)]",LP.8.1 LP.8.1.7 LP.8.1.12 LP.8.1.14,0.85291760 0.13513489 0.00273184 0.00194932,12.365909766547592,99.76925392101127,LP.8.1,0.8529176
UT-UPHL-250328617723,"[('XEC* (XEC.X)', 0.9975567575098364)]",XEC.11.1,0.99755676,15.353271619232993,99.81272781995118,XEC.11.1,0.99755676
UT-UPHL-250328618293,"[('BA.2.86* (BA.2.86.X)', 0.9948825760308656)]",PV.3,0.99488258,17.31625013,99.93311707855399,PV.3,0.99488258
UT-UPHL-250328632595,"[('LP.8.1* (LP.8.1.X)', 0.997420003679946)]",LP.8.1.4,0.99742,15.842968818840111,99.57194930274554,LP.8.1.4,0.99742
UT-UPHL-250328640609,"[('LP.8.1* (LP.8.1.X)', 0.9904660144860934)]",LP.8.1 LP.8.1.12,0.98867497 0.00179104,21.457186662309315,99.83279269638498,LP.8.1,0.98867497
UT-UPHL-250328680105,"[('Omicron', 0.9987509869143233)]",XEQ,0.99875099,18.500564015840567,99.56526101060095,XEQ,0.99875099
UT-UPHL-250328704886,"[('XEC* (XEC.X)', 0.9990904901865859)]",XEC.2.2.1,0.99909049,16.779657981815102,99.57194930274554,XEC.2.2.1,0.99909049
UT-UPHL-250328730531,"[('LP.8.1* (LP.8.1.X)', 0.9980950675534033)]",LP.8.1 LP.8.1.11 LP.8.1.16 LP.8.1.14,0.99300359 0.00203252 0.00180503 0.00125392,12.81211348688675,99.57194930274554,LP.8.1,0.99300359
UT-UPHL-250328744110,"[('XEC* (XEC.X)', 0.996240662947166)]",XEC.20 XEC.25 XEC.16 XEC.15,0.84730494 0.14285701 0.00507619 0.00100253,14.439367602104618,99.53181954987794,XEC.20,0.84730494
UT-UPHL-250328761162,"[('Omicron', 0.9986961103875327)]",XES.1.1,0.99869611,14.051353984654105,97.74270140119721,XES.1.1,0.99869611
UT-UPHL-250328785520,"[('LP.8.1* (LP.8.1.X)', 0.9949233790287216), ('BA.2.86* (BA.2.86.X)', 0.0015144678946067218)]",LP.8.1 LP.8.1.6 LP.8.1.12 PD.3 KP.2.3,0.97503106 0.01176319 0.00436669 0.00376243 0.00151447,13.896401365771258,99.74584489850517,LP.8.1,0.97503106
UT-UPHL-250328804444,"[('XEC* (XEC.X)', 0.9929789190963221)]",XEC.8 XEC.36,0.99138978 0.00158914,13.706054357996251,99.83279269638498,XEC.8,0.99138978
UT-UPHL-250328807183,"[('KP.3.1.1* (KP.3.1.1.X)', 0.9950659279760342)]",MC.31,0.99506593,20.603557166452074,99.76925392101127,MC.31,0.99506593
UT-UPHL-250328843365,"[('BA.2.86* (BA.2.86.X)', 0.9971481923642123)]",LF.7.7.2 LF.7.7,0.99277862 0.00436957,19.051673054054298,97.93331772731833,LF.7.7.2,0.99277862
UT-UPHL-250328872024,"[('XEC* (XEC.X)', 0.9848881345442659)]",XEC.5 XEC.15 XEC.10,0.97608608 0.00557621 0.00322585,19.270384719309078,99.83279269638498,XEC.5,0.97608608
UT-UPHL-250328921186,"[('KP.3.1.1* (KP.3.1.1.X)', 0.9935459546227452)]",MC.21.1,0.99354595,16.372362346097624,99.83279269638498,MC.21.1,0.99354595
UT-UPHL-250328932628,"[('Omicron', 0.9971370068521541)]",XES.1.1,0.99713701,18.95264419057076,99.83279269638498,XES.1.1,0.99713701
UT-UPHL-250328955576,"[('XEC* (XEC.X)', 0.9986730066251396)]",XEC.11.1.1,0.99867301,17.803949284391827,99.86623415710798,XEC.11.1.1,0.99867301
UT-UPHL-250328999046,"[('XEC* (XEC.X)', 0.9884288017025477), ('Other', 0.001031650616206862)]",XEC.20 XEC.32 XEC.15 XEU,0.53177773 0.45352852 0.00312255 0.00103165,20.221266640525684,99.73915660636057,XEC.20,0.53177773
UT-UPHL-250411000775,"[('LP.8.1* (LP.8.1.X)', 0.9921116457611321)]",LP.8.1.1 LP.8.1.12,0.98948766 0.00262398,15.386343669147452,99.86289001103569,LP.8.1.1,0.98948766
UT-UPHL-250411017124,"[('XEC* (XEC.X)', 0.9977826570788106)]",XEC.10 XEC.5 XEC.15 XEC.38 XEC.19 XEC.40 XEC,0.37727271 0.37725886 0.18749994 0.04000746 0.01031140 0.00314454 0.00228774,18.638712168354836,98.85630204327325,XEC.10,0.37727271
