	summarized	lineages	abundances	resid	coverage
240227-SVWRF3-UT_seqkit_50_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9999992606666565)]	JN.1.8 JN.1.9 JN.1.4.1 JN.1.4 JN.1.4.6	0.29719586 0.28058195 0.15555525 0.15555525 0.11111094	4.5271042707777545	40.81530281242685
240227-SVWRF3-UT_bbnorm_100_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9999966367401315)]	JN.1.8 JN.1.4.5 JN.1.9 JN.1.4.6 JN.1.64 JN.1.9.2 JN.1.64.1 JN.1.13	0.26118656 0.25644971 0.12988910 0.11267691 0.09777946 0.07281379 0.06151195 0.00768917	15.329363109652817	99.52847540380564
240227-SVWRF3-UT_seqkit_100_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9999995224139923)]	JN.1.8 JN.1.9 JN.1.4 JN.1.4.6 JN.1.36	0.33333294 0.29032293 0.26352050 0.09090922 0.02191392	6.152173265029633	55.48941577768117
240227-SVWRF3-UT_bbnorm_200_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9999961664906183)]	JN.1.4.5 JN.1.8 JN.1.9 JN.1.64 JN.1.4.6 JN.1.9.2 JN.1.64.1 JN.1.13	0.27189762 0.21856722 0.15650531 0.11969623 0.09737979 0.06858622 0.05979030 0.00757347	15.072335189172094	99.52847540380564
240227-SVWRF3-UT_seqkit_200_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9999986910360121)]	JN.1.9 JN.1.8 JN.1.4 JN.1.4.6 JN.1.64	0.29166683 0.28571385 0.22955376 0.10638333 0.08668092	5.64441235674798	65.74591178142661
240227-SVWRF3-UT_bbnorm_300_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.999999022606849)]	JN.1.4.9 JN.1.8 JN.1.9 JN.1.4.6 JN.1.9.2 JN.1.64 JN.1.64.1 JN.1.13	0.29252891 0.27668774 0.13018067 0.08083192 0.07613017 0.07205149 0.05138648 0.02020165	14.834272961664684	99.52847540380564
240227-SVWRF3-UT_seqkit_300_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9999800910023291)]	JN.1.8 JN.1.4 JN.1.9 JN.1.64 JN.1.4.6	0.28204857 0.25357566 0.24637466 0.12273697 0.09524424	6.901041508604622	73.00939705046316
240227-SVWRF3-UT_bbnorm_400_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9999982274840634)]	JN.1.4.9 JN.1.8 JN.1.64 JN.1.9 JN.1.4.6 JN.1.64.1 JN.1.9.2 JN.1.13	0.30961441 0.25759935 0.10067820 0.09063789 0.08974475 0.06598712 0.06152919 0.02420733	14.696875088076773	99.52847540380564
240227-SVWRF3-UT_seqkit_400_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9999985087104064)]	JN.1.8 JN.1.4 JN.1.9 JN.1.64 JN.1.4.6	0.32307670 0.29003813 0.20754672 0.10717135 0.07216561	8.10946981555654	81.35304150085275
240227-SVWRF3-UT_bbnorm_500_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9984248499385326)]	JN.1.4.9 JN.1.8 JN.1.9 JN.1.64 JN.1.4.6 JN.1.9.2 JN.1.64.1 JN.1.39 JN.1.13 JN.1.39.2	0.29248202 0.24662598 0.11722081 0.10608688 0.08251769 0.05866618 0.05572511 0.01395977 0.01279989 0.01234051	14.700556193519809	99.52847540380564
240227-SVWRF3-UT_seqkit_500_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9999954152187595)]	JN.1.4 JN.1.8 JN.1.9 JN.1.64 JN.1.4.6 JN.1.36 JN.1	0.26749634 0.23684018 0.18965501 0.13793092 0.09032297 0.05414001 0.02360998	8.77262619362567	89.51944620941043
240227-SVWRF3-UT_bbnorm_1000_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9984550972537853)]	JN.1.4.9 JN.1.8 JN.1.9 JN.1.64 JN.1.4.6 JN.1.9.2 JN.1.64.1 JN.1.39 JN.1.39.2 JN.1.26	0.31325740 0.22795524 0.13044447 0.10031626 0.06873631 0.04815353 0.04333873 0.03022859 0.02162136 0.01440322	14.927671689488518	99.52847540380564
240227-SVWRF3-UT_seqkit_1000_variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9999971307808817)]	JN.1.4 JN.1.8 JN.1.9 JN.1.64 JN.1.4.6 JN.1.4.4 JN.1.36 JN.1.9.2 JN.1.64.1 JN.1 JN.1.18 JN.1.1.2 JN.1.44 JN.1.44.1	0.23985618 0.22594041 0.14062437 0.09512194 0.07166148 0.05020844 0.04545443 0.04009862 0.03531301 0.03324679 0.01496827 0.00287355 0.00236154 0.00226810	10.162122087528456	93.56251881082166
